publish_date,headline_place,headline_state,NCRB_stats,headline_text
20200621,city.hyderabad,Telangana,,Elderly woman killed; robbed by domestic help
20201011,city.hyderabad,Telangana,,Elderly woman robbed of gold chain in Turkapally
20200118,city.hyderabad,Telangana,,Hyderabad: College employee beaten to death for harassing woman
20200805,city.hyderabad,Telangana,,Woman beaten by 'witch doctor' in Karimnagar dies
20200311,city.hyderabad,Telangana,,Telangana: Robbers murder woman; sever toes to steal jewels
20200313,city.hyderabad,Telangana,,Telangana woman murder: Labourer duo held; say film; YouTube videos inspired them
20200319,city.hyderabad,Telangana,,tangedupally murder cops yet to establish womans identity
20200402,city.hyderabad,Telangana,,Chevella murder case: Cops nab one for death of 35-year-old woman
20200410,city.hyderabad,Telangana,,Woman murders husband after tiff
20200519,city.hyderabad,Telangana,,Woman gets life term for murder in Telangana
20200521,city.hyderabad,Telangana,,Stalker murdered by woman's family in Telangana
20200623,city.hyderabad,Telangana,,Murdered woman not identified yet
20200707,city.hyderabad,Telangana,,Woman murdered at Parkal
20201208,city.hyderabad,Telangana,,Woman murdered in Pahadishareef
20201209,city.hyderabad,Telangana,,Woman's murder: Suspect kills self; family protests
20200110,city.hyderabad,Telangana,,Woman killed in road mishap; hubby injured
20200308,city.hyderabad,Telangana,,Woman killed; cops suspect husband
20200527,city.hyderabad,Telangana,,Hyderabad: Driver; woman killed by kin in two cases
20200621,city.hyderabad,Telangana,,Elderly woman killed; robbed by domestic help
20200628,city.hyderabad,Telangana,,Hyderabad: Woman killed in rock blasting at Kondapur
20200825,city.hyderabad,Telangana,,Woman killed at her house in Dundigal
20201001,city.hyderabad,Telangana,,Auto driver who killed woman for jewellery arrested
20201004,city.hyderabad,Telangana,,Woman killed; body dumped in Vikarabad district
20201106,city.hyderabad,Telangana,,Tribal woman raped & killed; 3 arrested
20200108,city.hyderabad,Telangana,,Disabled woman raped; clubbed to death in Andhra Pradesh
20200123,city.hyderabad,Telangana,,Secunderabad: Woman in search of job raped; two held
20200425,city.hyderabad,Telangana,,Woman raped in Hyderabad on pretext of black magic treatment
20200628,city.hyderabad,Telangana,,Woman raped by preacher in Telangana
20201014,city.hyderabad,Telangana,,Hyderabad: Mumbai woman raped at star hotel
20201106,city.hyderabad,Telangana,,Tribal woman raped & killed; 3 arrested
20200113,city.hyderabad,Telangana,,Telangana: 26-year-old woman accuses NRI husband of domestic violence
20200215,city.hyderabad,Telangana,,2 women murdered in Old City over monetary dispute
20201112,city.agra,Uttar Pradesh,49385,Gurugram woman among three killed on Yamuna Expressway
20200529,city.agra,Uttar Pradesh,,woman suffering from fever beaten mercilessly by tantric video goes viral fir filed against four
20200108,city.agra,Uttar Pradesh,,Agra: MCD junior engineer; woman arrested for murder of her husband
20200722,city.agra,Uttar Pradesh,,Woman; her paramour held for husband's murder in Firozabad
20200803,city.agra,Uttar Pradesh,,Married woman and a widower found murdered in Mainpuri
20200820,city.agra,Uttar Pradesh,,Woman doctor of Agra medical college found brutally murdered; another medico suspect
20201112,city.agra,Uttar Pradesh,,Gurugram woman among three killed on Yamuna Expressway
20201129,city.agra,Uttar Pradesh,,Delhi woman; daughter killed in car crash on Yamuna e-way
